,Manufacturer,Model,Trans,Eng Size,Cyl,MPG Comb,MPG City,MPG Hwy,Annual Fuel Cost,GHG Rating,Notes,Year
0,ACURA,NSX Hybrid,AM-S9,3.5L,6cyl,21,21,22,"$2,900",4,"['PR', 'T', 'HEV', 'SS']",2021
1,ASTON MARTIN,Vantage Manual,M-7,4.0L,8cyl,17,14,21,"$3,600",3,"['P', 'T', 'SS']",2021
2,ASTON MARTIN,Vantage V8,A-S8,4.0L,8cyl,20,18,24,"$3,050",4,"['P', 'T']",2021
3,AUDI,R8,AM-S7,5.2L,10cyl,16,13,20,"$3,800",2,"['PR', 'Tax', 'C.', 'D.']",2021
4,AUDI,R8 2WD,AM-S7,5.2L,10cyl,17,14,23,"$3,600",3,"['PR', 'Tax', 'C.', 'D.']",2021
5,AUDI,R8 Spyder,AM-S7,5.2L,10cyl,16,13,20,"$3,800",2,"['PR', 'Tax', 'C.', 'D.']",2021
6,AUDI,R8 Spyder 2WD,AM-S7,5.2L,10cyl,17,14,23,"$3,600",3,"['PR', 'Tax', 'C.', 'D.']",2021
7,AUDI,TT Roadster quattro,AM-S7,2.0L,4cyl,26,23,31,"$1,850",5,"['T', 'SS']",2021
8,BMW,Z4 M40i,A-S8,3.0L,6cyl,25,22,30,"$2,450",5,"['P', 'T', 'SS']",2021
9,BMW,Z4 sDrive30i,A-S8,2.0L,4cyl,28,25,32,"$2,200",6,"['P', 'T', 'SS']",2021
10,BUGATTI,Chiron,AM-S7,8.0L,16cyl,11,9,14,"$5,550",1,"['PR', 'T', 'Tax', 'C.', 'D.']",2021
11,BUGATTI,Chiron Pur Sport,AM-S7,8.0L,16cyl,10,8,13,"$6,100",1,"['PR', 'T', 'Tax', 'C.', 'D.']",2021
12,CHEVROLET,Corvette,A-S8,6.2L,8cyl,19,15,27,"$3,200",3,"['PR', 'C.', 'D.']",2021
13,FERRARI,812 GTS,AM-7,6.5L,12cyl,13,12,15,"$4,700",1,"['PR', 'Tax', 'SS']",2021
14,FERRARI,812 Superfast,AM-7,6.5L,12cyl,13,12,16,"$4,700",1,"['PR', 'Tax', 'SS']",2021
